predicted distance,tag transx,tag transy,tag transz,tag rotx,tag roty,tag rotz,tag rotw,home transx,home transy,home transz,home rotx,home roty,home rotz,home rotw
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.425999999,-1.366363245,0.626458937,0.780862151,0.002750185,0.001540804,-0.00368995,0.999988223,-1.88607965,0.631603131,0.84962346,-0.004040844,-0.000082269,-0.005998132,0.999973843
0.314000011,-1.366377466,0.626438355,0.780834592,0.002537862,0.001586933,-0.003777417,0.999988386,-1.886080065,0.631615176,0.849592071,-0.004152191,-8.01E-05,-0.006040066,0.999973135
0.455000013,-1.366332412,0.626445651,0.780836762,0.002461231,0.001674438,-0.003875538,0.999988059,-1.886083247,0.63159309,0.849607418,-0.00396052,-0.000111291,-0.006034453,0.999973943
0.388999999,-1.366360481,0.626466364,0.780905486,0.002622515,0.0013265,-0.003564112,0.99998933,-1.886324728,0.631852646,0.849625441,-0.005440891,-0.001060815,-0.005567084,0.999969139
0.463999987,-1.366352268,0.626455815,0.780865988,0.002788117,0.001509589,-0.003562994,0.999988626,-1.886093441,0.631620398,0.849634612,-0.004097843,-0.000175096,-0.005981381,0.9999737
0.402999997,-1.366396141,0.626444986,0.780824962,0.002626738,0.00157535,-0.003753232,0.999988266,-1.886111844,0.631574596,0.849602455,-0.003667065,-0.000193009,-0.00594264,0.9999756
0.430999994,-1.366376866,0.626447989,0.780836309,0.002540718,0.001670053,-0.003776847,0.999988246,-1.886110383,0.63158893,0.84958568,-0.003812357,-0.000235738,-0.006001716,0.999974695
0.449999988,-1.366375963,0.626477675,0.780898305,0.002994183,0.001236673,-0.003376332,0.999989053,-1.886012342,0.631546676,0.849524109,-0.004025327,0.00012677,-0.006276425,0.999972193
0.425999999,-1.36637928,0.626460962,0.780879687,0.002726697,0.001531756,-0.003560322,0.999988771,-1.886081197,0.631599164,0.849612847,-0.004033763,-1.85E-05,-0.005994473,0.999973897
0.393999994,-1.366340606,0.62643751,0.780857727,0.002431508,0.001656145,-0.003906855,0.999988041,-1.886325078,0.631836909,0.849646383,-0.005280149,-0.001169651,-0.005593994,0.999969729
0.379999995,-1.366366307,0.626443612,0.780836933,0.002451999,0.001627784,-0.003796787,0.999988461,-1.886107398,0.631605846,0.84963532,-0.00383926,-0.000225383,-0.005916126,0.999975104
0.425999999,-1.366372917,0.626477098,0.780905801,0.002899539,0.001152166,-0.003417149,0.999989294,-1.886077897,0.631593215,0.849580786,-0.003897771,-7.16E-05,-0.006023199,0.999974261
0.388999999,-1.366377209,0.62647643,0.780875888,0.002839713,0.001362943,-0.003562773,0.999988693,-1.8860841,0.631603321,0.849598382,-0.003904121,-4.77E-05,-0.005933545,0.999974774
0.444999993,-1.366376103,0.626461909,0.780855208,0.002500061,0.00151596,-0.003664151,0.999989013,-1.886069209,0.63160246,0.849594458,-0.004080569,-2.58E-05,-0.006008466,0.999973623
0.347000003,-1.366343564,0.626443824,0.7808154,0.00260675,0.001782988,-0.003763115,0.999987932,-1.886111161,0.631615811,0.84965239,-0.004028019,-0.000180544,-0.005885021,0.999974554
