distance,variance

4.5720555961960505,0.000373865603475
9.144111192392101,0.000566115488923
13.71616678858815,0.00056958500867
18.288222384784202,0.000274925609812
22.86027798098025,0.000543104165973
27.4323335771763,0.000340240786172
36.576444769568404,0.000467601759383
41.14850036576445,0.000529217530857
22.86027798098025,0.000415255259578
45.7205559619605,0.000335199709173
54.8646671543526,0.000484176039282
59.436722750548654,0.000281840725947
50.29261155815655,0.000478353970271
68.58083394294076,0.000486429565493
64.0087783467447,0.000301902465179
73.15288953913681,0.000352705540974
77.72494513533285,0.000412027640268
82.2970007315289,0.000301133852967
86.86905632772495,0.000591619698144
91.441111923921,0.000625731583793
