actual dist,angle,var
2.25-2.5,0.4-0.6,0.00100243968114
2.25-2.5,0.4-0.6,0.00126795634526
2.25-2.5,0.2-0.4,0.00208667755299
2.25-2.5,0.2-0.4,0.00143378753074
2.25-2.5,0.2-0.4,0.00151934520638
2.25-2.5,0.0-0.2,0.00152437193724
2.25-2.5,0.0-0.2,0.00148132018023
2.25-2.5,0.0-0.2,0.00151973489557
2.5-2.75,0.0-0.2,0.000318319597299
2.5-2.75,0.0-0.2,0.00022894812764
2.5-2.75,0.2-0.4,0.000312207189138
2.5-2.75,0.2-0.4,0.000398717254798
2.5-2.75,0.4-0.6,0.000548379362909
2.5-2.75,0.4-0.6,0.000425510061175
2.5-2.75,0.6-0.8,0.000493980590769
2.5-2.75,0.6-0.8,0.000291100816071
2.5-2.75,0.8-1.0,0.000512949383699
2.5-2.75,0.8-1.0,0.000411692704855
2.5-2.75,1.0-1.2,0.000963207496579
2.5-2.75,1.0-1.2,0.00055009807592
2.25-2.5,1.2-1.4,0.00087687752376
2.25-2.5,1.2-1.4,0.000584702965454
2.25-2.5,1.4-1.6,0.00106269112072
2.25-2.5,1.4-1.6,0.000345864988253
2.25-2.5,1.4-1.6,0.000575388269712
2.25-2.5,1.4-1.6,0.000906835991816
2.25-2.5,1.2-1.4,0.000928774784138
2.25-2.5,1.2-1.4,0.00120573989728
2.25-2.5,1.2-1.4,0.000872096129256
2.25-2.5,1.0-1.2,0.000659139994456
2.25-2.5,1.0-1.2,0.000882381908502
2.25-2.5,0.8-1.0,0.000986825521907
2.25-2.5,0.8-1.0,0.000978778493753
2.25-2.5,0.6-0.8,0.0015081699772
2.25-2.5,0.6-0.8,0.00144408735812
2.25-2.5,0.4-0.6,0.000480679171088
2.25-2.5,0.4-0.6,0.000550066459104
2.25-2.5,0.2-0.4,0.000431781434101
2.25-2.5,0.2-0.4,0.000486875335162
2.25-2.5,0.2-0.4,0.000627955927898
2.25-2.5,0.0-0.2,0.000823320656832
2.25-2.5,0.0-0.2,0.00132028340692
2.25-2.5,0.0-0.2,0.00135258112878
2.5-2.75,0.0-0.2,0.00103470294041
2.5-2.75,0.0-0.2,0.000817483655271
2.5-2.75,0.0-0.2,0.00177816226866
2.5-2.75,0.2-0.4,0.00204110346095
2.5-2.75,0.4-0.6,0.0024631826168
2.5-2.75,0.4-0.6,0.00183573318752
2.5-2.75,0.6-0.8,0.000786640026683
2.5-2.75,0.8-1.0,0.000594638344978
2.5-2.75,0.8-1.0,0.000179188426474
2.5-2.75,1.0-1.2,0.000425217692612
2.5-2.75,1.0-1.2,0.00104597226037
2.5-2.75,1.2-1.4,0.000773623451117
2.5-2.75,1.2-1.4,0.000768302885413
2.5-2.75,1.2-1.4,0.000618266742184
2.5-2.75,1.2-1.4,0.000361509136328
2.5-2.75,1.4-1.6,0.000192767994834
2.5-2.75,1.4-1.6,0.000410995223318
2.5-2.75,1.4-1.6,0.000805998440621
2.5-2.75,1.4-1.6,0.00171745632033
2.5-2.75,1.2-1.4,0.00223423024295
2.5-2.75,1.2-1.4,0.00147926899507
2.5-2.75,1.0-1.2,0.0015727369809
2.5-2.75,1.0-1.2,0.000628944145353
2.5-2.75,1.0-1.2,0.000435577865993
2.5-2.75,0.8-1.0,0.000459687223823
2.5-2.75,0.8-1.0,0.000276436017342
2.5-2.75,0.6-0.8,0.000295672435953
2.5-2.75,0.6-0.8,0.000902370264555
2.5-2.75,0.4-0.6,0.00186375638871
2.5-2.75,0.4-0.6,0.00149022444764
2.5-2.75,0.2-0.4,0.00167364403299
2.5-2.75,0.2-0.4,0.000914377575541
2.5-2.75,0.0-0.2,0.000913795381301
2.5-2.75,0.0-0.2,0.00047218531142
2.25-2.5,0.0-0.2,0.000604995958993
2.25-2.5,0.0-0.2,0.000410513098514
2.5-2.75,0.0-0.2,0.000506970659021
2.5-2.75,0.0-0.2,0.000311777216782
2.5-2.75,0.2-0.4,0.00028597908015
2.5-2.75,0.2-0.4,0.000321022353792
2.5-2.75,0.4-0.6,0.000364664566071
2.5-2.75,0.4-0.6,0.000341670165569
2.5-2.75,0.6-0.8,0.000448917402127
2.5-2.75,0.6-0.8,0.000300201134281
2.5-2.75,0.6-0.8,0.000435617173723
2.5-2.75,0.8-1.0,0.000890174467969
2.5-2.75,0.8-1.0,0.000498612543384
2.5-2.75,1.0-1.2,0.000700627441957
2.5-2.75,1.0-1.2,0.0007437511776
2.5-2.75,1.2-1.4,0.000553466581092
2.5-2.75,1.2-1.4,0.000589964748752
2.5-2.75,1.4-1.6,0.000270585525689
2.5-2.75,1.4-1.6,0.00028279166169
2.5-2.75,1.4-1.6,0.000333929051739
2.5-2.75,1.4-1.6,0.000357917704416
2.5-2.75,1.4-1.6,0.000305588319447
2.5-2.75,1.2-1.4,0.0001888735528
2.5-2.75,1.2-1.4,0.000601751616579
2.5-2.75,1.0-1.2,0.000406631421162
2.5-2.75,1.0-1.2,0.000431209388101
2.5-2.75,0.8-1.0,0.000450071385518
2.5-2.75,0.8-1.0,0.000721212024721
2.5-2.75,0.6-0.8,0.000710367233749
2.5-2.75,0.6-0.8,0.000883508121965
2.5-2.75,0.4-0.6,0.000756842961833
2.5-2.75,0.4-0.6,0.000428390219586
2.5-2.75,0.2-0.4,0.000378535450424
2.5-2.75,0.2-0.4,0.000241810739455
2.5-2.75,0.0-0.2,0.000303101626479
2.5-2.75,0.0-0.2,0.000292367609534
2.5-2.75,0.0-0.2,0.000239532800992
2.75-3.0,0.0-0.2,0.00129946881369
2.75-3.0,0.0-0.2,0.00136853536994
2.75-3.0,0.2-0.4,0.000908806821105
2.5-2.75,0.2-0.4,0.00140574587871
2.5-2.75,0.4-0.6,0.000434197273478
2.5-2.75,0.6-0.8,0.000992714109247
2.5-2.75,0.6-0.8,0.000968323298372
2.5-2.75,0.8-1.0,0.00101152191424
2.5-2.75,0.8-1.0,0.000237025814196
2.5-2.75,1.0-1.2,0.000706169880471
2.5-2.75,1.0-1.2,0.000994942867394
2.5-2.75,1.2-1.4,0.00132495404962
2.5-2.75,1.2-1.4,0.000445719318135
2.5-2.75,1.4-1.6,0.00056171718757
2.5-2.75,1.4-1.6,0.00119924080265
2.5-2.75,1.4-1.6,0.00132816473224
2.5-2.75,1.4-1.6,0.00114568508515
2.5-2.75,1.2-1.4,0.00104808068805
2.5-2.75,1.2-1.4,0.000927346676978
2.5-2.75,1.0-1.2,0.000705187050079
2.5-2.75,1.0-1.2,0.000464901090027
2.5-2.75,0.8-1.0,0.000633261603705
2.5-2.75,0.8-1.0,0.000805449226081
2.5-2.75,0.6-0.8,0.000397774570479
2.5-2.75,0.6-0.8,0.000192879117071
2.5-2.75,0.4-0.6,0.000674698956619
