predicted distance,tag transx,tag transy,tag transz,tag rotx,tag roty,tag rotz,tag rotw,home transx,home transy,home transz,home rotx,home roty,home rotz,home rotw
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.6420000196,-1.0779878128,0.625183719,0.7770599946,-0.0017512119,-0.0005743851,-0.0056383603,0.999982406,-1.8856815989,0.632571878,0.8495306926,-0.0023148292,-0.0008763293,-0.0091301758,0.9999552558
0.6660000086,-1.0787308783,0.6254664888,0.7776514275,-0.0048066885,-0.0023510872,-0.0101214794,0.9999344597,-1.8857683796,0.6326307459,0.8496487702,-0.0022399159,-0.0011198413,-0.0087567123,0.9999585235
0.6750000119,-1.0779612894,0.6251969828,0.7770683549,-0.001583684,-0.0006271705,-0.0055073528,0.9999833837,-1.8857327731,0.6326192433,0.8496275106,-0.002293012,-0.0010279383,-0.0088336375,0.9999578253
0.7450000048,-1.0779097029,0.6250640481,0.7773074984,-0.0014876562,-0.0021003266,-0.0050668323,0.9999838512,-1.885641783,0.6325316907,0.849554902,-0.0022217045,-0.0007090527,-0.0092177351,0.9999547963
0.6840000153,-1.0778028879,0.6254858404,0.7768384251,-0.0001878024,-0.0011511617,-0.0048604375,0.9999875078,-1.8857608028,0.6326455438,0.8495932031,-0.0026107625,-0.0010134034,-0.0089682625,0.9999558626
0.7409999967,-1.0787591482,0.6253656987,0.7778036823,-0.00594318,-0.0023535721,-0.0096547296,0.9999329605,-1.8857472575,0.6326074768,0.8496119107,-0.0024032594,-0.0009625475,-0.0089568059,0.9999565358
0.7450000048,-1.0779399082,0.6251362597,0.777286232,-0.0016483553,-0.002139656,-0.0051125834,0.999983283,-1.8857552067,0.6326246524,0.8495917336,-0.0023853738,-0.0011047385,-0.0088524441,0.999957361
0.6750000119,-1.0779191991,0.6252425389,0.7773620576,-0.0017608171,-0.0022259092,-0.0049888496,0.999983528,-1.8856497952,0.6325643685,0.8495230588,-0.0025658074,-0.0006586324,-0.0092391285,0.9999538096
0.6800000072,-1.0787783591,0.6254207668,0.7777409722,-0.0055664413,-0.003124317,-0.0101064382,0.9999285541,-1.8857323267,0.6326138588,0.8496225831,-0.0024436877,-0.0009732457,-0.0089502281,0.9999564864
0.7360000014,-1.0777811991,0.6253354994,0.7768801398,-0.0003642895,-0.0010348772,-0.0049425277,0.9999871838,-1.8856768886,0.6325643354,0.8495863002,-0.0021571619,-0.0007692787,-0.0089973195,0.9999569006
0.7129999995,-1.0779281244,0.6251167777,0.7772841344,-0.0016299677,-0.0020260326,-0.005165497,0.9999832779,-1.8857683552,0.6326031796,0.8496282432,-0.0023843259,-0.0010267957,-0.0089428585,0.999956642
0.773999989,-1.0778376602,0.6254041368,0.7768560833,-0.0003448199,-0.0011560853,-0.0049717697,0.999986913,-1.8857575142,0.6326295025,0.8496064451,-0.0024924271,-0.0010113703,-0.0089177291,0.9999566186
0.7879999876,-1.0788174698,0.6253303234,0.7778543724,-0.0064025427,-0.0024729172,-0.0100638416,0.9999258029,-1.8857677371,0.632599891,0.8496056596,-0.0023517117,-0.0010361706,-0.0089550483,0.9999566005
